time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity
2016-12-17T12:06:41Z,50.337444,3.276038,83.02744959538272,16.0,247.83904,0.5708427,0,gps,99.0,99.0,140.0,,,,TILTING
2016-12-17T12:06:42Z,50.337596,3.275927,87.48842132721728,16.0,64.68815,0.65577793,6,gps,2.9,3.0,4.2,47.3,,,
2016-12-17T12:06:45Z,50.337554,3.275940,85.00462267774957,16.0,357.4981,0.68760026,12,gps,1.0,1.4,1.7,47.3,,,
2016-12-17T12:06:47Z,50.337474,3.275972,78.38057383350774,6.0,,0.0,12,gps,1.2,1.6,2.0,47.3,,,
2016-12-17T12:06:49Z,50.337501,3.275966,76.8043445905062,8.0,,0.0,15,gps,1.2,1.5,1.9,47.3,,,
2016-12-17T12:06:51Z,50.337534,3.275959,76.1505686046685,6.0,,0.5115114,17,gps,0.8,1.3,1.6,47.3,,,
2016-12-17T12:06:53Z,50.337561,3.275930,76.51047056999118,8.0,,0.86215657,17,gps,1.1,1.5,1.9,47.3,,,
2016-12-17T12:06:55Z,50.337585,3.275879,77.01503532029928,4.0,286.38214,1.4400867,17,gps,1.4,1.8,2.3,47.3,,,
2016-12-17T12:06:57Z,50.337600,3.275857,77.07970848841903,4.0,285.288,0.5291364,17,gps,0.9,1.3,1.6,47.3,,,
2016-12-17T12:06:59Z,50.337611,3.275826,77.1250562938951,4.0,278.60007,1.0703344,17,gps,0.9,1.3,1.6,47.3,,,
2016-12-17T12:07:01Z,50.337619,3.275789,77.17910081428857,4.0,271.70612,1.2704812,16,gps,0.4,1.5,1.8,47.3,,,
2016-12-17T12:07:03Z,50.337623,3.275758,77.2748668163503,6.0,271.70612,0.0,17,gps,0.9,1.6,1.9,47.3,,,
2016-12-17T12:07:05Z,50.337626,3.275756,77.60890946980805,4.0,271.70612,0.0,17,gps,1.3,1.6,2.0,47.3,,,
2016-12-17T12:07:07Z,50.337630,3.275768,78.22413629232601,6.0,271.70612,0.0,18,gps,0.8,1.3,1.6,47.3,,,
2016-12-17T12:07:09Z,50.337637,3.275775,78.79313614261737,6.0,271.70612,0.0,18,gps,1.1,1.4,1.8,47.3,,,
2016-12-17T12:07:11Z,50.337670,3.275845,81.00792507739614,4.0,68.26555,2.3377554,19,gps,0.4,1.4,1.8,47.3,,,UNKNOWN
2016-12-17T12:07:13Z,50.337682,3.276017,81.11185083477531,6.0,99.59437,5.2547264,19,gps,0.8,1.3,1.5,47.3,,,
2016-12-17T12:07:15Z,50.337674,3.276222,80.1304896987983,6.0,87.59793,7.035196,19,gps,1.1,1.4,1.8,47.3,,,
2016-12-17T12:07:17Z,50.337714,3.276478,79.62191784092084,6.0,66.81872,8.353906,18,gps,1.2,1.5,1.9,47.3,,,
2016-12-17T12:07:19Z,50.337823,3.276714,79.28707382451243,6.0,33.288124,8.713771,19,gps,0.9,1.2,1.5,47.3,,,
2016-12-17T12:07:21Z,50.337989,3.276855,79.17081444029961,4.0,22.970663,9.678914,19,gps,0.8,1.2,1.5,47.3,,,
2016-12-17T12:07:23Z,50.338181,3.276981,79.09341533905314,4.0,22.476084,11.364805,19,gps,0.4,1.2,1.5,47.3,,,
2016-12-17T12:07:25Z,50.338397,3.277082,79.22163785400106,6.0,12.770522,12.378944,19,gps,0.8,1.2,1.5,47.3,,,
2016-12-17T12:07:27Z,50.338632,3.277148,79.41039641171575,4.0,6.9482293,12.977963,19,gps,1.1,1.4,1.8,47.3,,,
2016-12-17T12:07:29Z,50.338877,3.277184,79.3959618914567,6.0,8.179802,13.346275,19,gps,0.8,1.1,1.4,47.3,,,
2016-12-17T12:07:31Z,50.339128,3.277270,79.59803158164314,6.0,15.642281,14.175359,19,gps,1.1,1.5,1.8,47.3,,,
2016-12-17T12:07:33Z,50.339388,3.277383,79.8821528982098,4.0,15.831672,14.6088915,19,gps,1.2,1.5,1.9,47.3,,,
2016-12-17T12:07:35Z,50.339644,3.277493,80.21448827501052,4.0,15.852927,14.5281515,19,gps,0.8,1.1,1.4,47.3,,,
2016-12-17T12:07:37Z,50.339896,3.277602,80.59073354238275,4.0,16.100395,14.272945,18,gps,0.8,1.1,1.4,47.3,,,
2016-12-17T12:07:39Z,50.340139,3.277704,81.03043897941329,4.0,15.270959,13.120456,18,gps,0.4,1.0,1.3,47.3,,,
2016-12-17T12:07:41Z,50.340348,3.277780,81.44779907734087,4.0,15.519265,11.58267,18,gps,0.9,1.1,1.4,47.3,,,
2016-12-17T12:07:43Z,50.340533,3.277840,81.74113537335272,4.0,15.320265,10.493833,19,gps,0.8,1.1,1.4,47.3,,,
2016-12-17T12:07:45Z,50.340704,3.277916,82.04395535895446,4.0,15.299388,9.602443,19,gps,0.8,1.1,1.4,47.3,,,
2016-12-17T12:07:47Z,50.340851,3.277982,82.2514074756227,4.0,15.978005,8.123725,19,gps,0.8,1.1,1.4,47.3,,,
2016-12-17T12:07:49Z,50.340965,3.278037,82.36403091623583,4.0,32.111687,6.247881,18,gps,0.4,1.1,1.4,47.3,,,
2016-12-17T12:07:50Z,50.341040,3.278144,82.4103020973346,4.0,78.4632,5.4365225,18,gps,0.8,1.1,1.3,47.3,,,IN_VEHICLE
2016-12-17T12:07:52Z,50.341052,3.278330,82.44893750361952,4.0,106.14382,6.9928613,19,gps,0.4,1.0,1.3,47.3,,,
2016-12-17T12:07:54Z,50.341004,3.278595,82.50172544351126,4.0,107.29462,9.372809,19,gps,0.7,1.2,1.4,47.3,,,
2016-12-17T12:07:56Z,50.340948,3.278890,82.53346801257355,4.0,107.42568,10.58499,18,gps,0.8,1.4,1.6,47.3,,,
2016-12-17T12:07:58Z,50.340882,3.279209,82.65252862124359,4.0,107.16248,11.687835,18,gps,0.9,1.4,1.7,47.3,,,
2016-12-17T12:08:00Z,50.340829,3.279556,82.91822597034648,4.0,105.998344,12.152868,19,gps,1.0,1.6,1.8,47.3,,,
2016-12-17T12:08:02Z,50.340774,3.279899,83.11499678492575,4.0,106.11727,12.222585,19,gps,0.9,1.4,1.7,47.3,,,
2016-12-17T12:08:04Z,50.340716,3.280219,83.43675016873695,4.0,105.28414,11.634326,19,gps,1.0,1.5,1.8,47.3,,,IN_VEHICLE
2016-12-17T12:08:06Z,50.340667,3.280494,83.73884351279827,6.0,113.047905,9.81454,19,gps,0.6,1.1,1.3,47.3,,,
2016-12-17T12:08:08Z,50.340593,3.280658,83.98995148472866,6.0,141.16872,7.972686,19,gps,0.6,1.3,1.7,47.3,,,IN_VEHICLE
2016-12-17T12:08:10Z,50.340478,3.280770,84.17069499545997,4.0,139.67648,7.7684846,19,gps,1.0,1.3,1.7,47.3,,,
2016-12-17T12:08:12Z,50.340408,3.280926,84.2488460550956,4.0,98.96874,6.898412,19,gps,0.9,1.3,1.6,47.3,,,IN_VEHICLE
2016-12-17T12:08:14Z,50.340422,3.281107,84.286024580528,4.0,56.399223,6.683705,19,gps,0.7,1.2,1.4,47.3,,,
2016-12-17T12:08:16Z,50.340524,3.281258,84.36920145570491,4.0,13.409961,7.3255043,19,gps,0.8,1.7,1.9,47.3,,,
2016-12-17T12:08:18Z,50.340665,3.281249,84.1867374040496,4.0,331.3235,7.586927,19,gps,0.9,1.4,1.7,47.3,,,IN_VEHICLE
2016-12-17T12:08:20Z,50.340814,3.281088,83.96456195203592,4.0,335.48016,9.380285,19,gps,0.8,1.1,1.4,47.3,,,
2016-12-17T12:08:22Z,50.341015,3.280982,84.02921338569254,4.0,357.72702,11.300446,19,gps,0.8,1.1,1.4,47.3,,,IN_VEHICLE
2016-12-17T12:08:24Z,50.341272,3.280971,83.98295175478219,4.0,0.3201919,13.802988,18,gps,0.4,1.3,1.6,47.3,,,
2016-12-17T12:08:26Z,50.341549,3.280959,84.0270200030537,4.0,359.93546,15.188667,18,gps,0.8,1.3,1.5,47.3,,,IN_VEHICLE
2016-12-17T12:08:28Z,50.341850,3.280984,84.1086143862614,4.0,0.5503511,16.700188,18,gps,0.8,1.3,1.5,47.3,,,
2016-12-17T12:08:30Z,50.342171,3.281004,83.856566460405,4.0,0.44799495,17.755093,18,gps,0.8,1.1,1.4,47.3,,,
2016-12-17T12:08:32Z,50.342503,3.281015,83.71658614628389,4.0,0.08698103,18.055412,18,gps,0.8,1.1,1.4,47.3,,,IN_VEHICLE
2016-12-17T12:08:34Z,50.342831,3.281029,83.77079640625509,4.0,0.40486482,17.531757,18,gps,0.8,1.2,1.5,47.3,,,
2016-12-17T12:08:36Z,50.343144,3.281045,83.67990522598052,4.0,358.76733,17.232939,18,gps,0.9,1.3,1.6,47.3,,,IN_VEHICLE
2016-12-17T12:08:38Z,50.343459,3.281021,83.518121065114,4.0,354.22775,17.388844,18,gps,0.8,1.1,1.4,47.3,,,
2016-12-17T12:08:40Z,50.343769,3.280935,83.4423394294765,4.0,347.87204,17.639416,18,gps,0.9,1.3,1.6,47.3,,,IN_VEHICLE
2016-12-17T12:08:42Z,50.344082,3.280820,83.43630622136341,4.0,342.91928,17.938126,18,gps,0.7,1.2,1.4,47.3,,,
2016-12-17T12:08:44Z,50.344383,3.280645,83.40219867185932,4.0,339.15332,17.318636,18,gps,0.7,1.2,1.4,47.3,,,IN_VEHICLE
2016-12-17T12:08:46Z,50.344663,3.280437,83.35804240894026,4.0,338.57233,16.472218,18,gps,0.8,1.3,1.5,47.3,,,
2016-12-17T12:08:48Z,50.344928,3.280289,83.60027885454787,4.0,338.53192,14.491714,19,gps,0.8,1.3,1.6,47.3,,,
2016-12-17T12:08:50Z,50.345135,3.280168,83.70269567028456,4.0,339.168,10.159638,19,gps,0.8,1.2,1.5,47.3,,,IN_VEHICLE
2016-12-17T12:08:52Z,50.345300,3.280081,83.60960126539621,4.0,344.06073,9.383597,19,gps,0.8,1.2,1.5,47.3,,,
2016-12-17T12:08:54Z,50.345445,3.280046,83.42662744192998,4.0,10.197907,7.472824,19,gps,0.8,1.3,1.5,47.3,,,IN_VEHICLE
2016-12-17T12:08:56Z,50.345574,3.280113,83.36937521026937,4.0,43.93637,8.077769,19,gps,0.9,1.4,1.7,47.3,,,
2016-12-17T12:08:58Z,50.345678,3.280310,83.6065605071505,4.0,45.409576,9.549884,19,gps,0.9,1.4,1.6,47.3,,,IN_VEHICLE
2016-12-17T12:09:00Z,50.345801,3.280502,83.89888955847644,4.0,38.37604,9.068959,19,gps,0.7,1.2,1.4,47.3,,,
2016-12-17T12:09:02Z,50.345917,3.280674,84.18793904742401,4.0,47.779285,8.898648,19,gps,0.4,1.3,1.6,47.3,,,
2016-12-17T12:09:04Z,50.345981,3.280930,84.48582697922731,6.0,89.85421,11.558882,19,gps,0.6,1.3,1.5,47.3,,,IN_VEHICLE
