time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity
2016-12-21T07:05:59Z,50.370517,3.465801,,37.653,,,0,network,,,,,,,TILTING
2016-12-21T07:06:03Z,50.370405,3.466434,102.22375612193983,24.0,116.94414,0.70841324,8,gps,1.7,2.4,3.0,47.3,,,
2016-12-21T07:06:05Z,50.370362,3.466242,84.65255722859524,6.0,,0.0,8,gps,0.6,2.4,3.0,47.3,,,
2016-12-21T07:06:06Z,50.370365,3.466247,85.20048754798887,4.0,,0.0,14,gps,1.0,1.7,2.0,47.3,,,
2016-12-21T07:06:08Z,50.370352,3.466261,86.17389572409552,4.0,,1.8124644,14,gps,0.9,1.5,1.8,47.3,,,
2016-12-21T07:06:10Z,50.370290,3.466311,88.07966860894938,6.0,162.55174,3.611199,15,gps,1.0,1.6,1.9,47.3,,,
2016-12-21T07:06:12Z,50.370220,3.466356,91.676395489102,6.0,152.98741,4.237494,16,gps,0.6,1.4,1.7,47.3,,,
2016-12-21T07:06:14Z,50.370155,3.466414,87.7810065273236,6.0,164.0615,4.330684,16,gps,1.0,1.4,1.7,47.3,,,
2016-12-21T07:06:16Z,50.370069,3.466447,87.98702397328641,6.0,167.21779,4.464754,18,gps,0.6,1.4,1.7,47.3,,,
2016-12-21T07:06:18Z,50.369979,3.466478,87.56984311213685,4.0,170.99199,5.007068,17,gps,0.4,1.6,1.9,47.3,,,
2016-12-21T07:06:20Z,50.369883,3.466500,87.70700400951515,4.0,175.83707,4.612939,16,gps,0.9,1.3,1.5,47.3,,,
2016-12-21T07:06:22Z,50.369819,3.466513,87.54845901687138,4.0,160.41245,2.7401521,18,gps,0.9,1.2,1.5,47.3,,,
2016-12-21T07:06:24Z,50.369800,3.466530,87.3229992780194,4.0,222.7155,1.8841894,19,gps,0.8,1.3,1.5,47.3,,,
2016-12-21T07:06:26Z,50.369780,3.466476,87.27942589540802,4.0,254.41017,3.1315777,18,gps,0.9,1.3,1.5,47.3,,,
2016-12-21T07:06:28Z,50.369772,3.466350,87.19112166901047,4.0,266.84186,4.57126,19,gps,0.8,1.5,1.7,47.3,,,IN_VEHICLE
2016-12-21T07:06:30Z,50.369771,3.466193,85.71115841609304,4.0,263.01605,5.7912593,19,gps,0.8,1.5,1.7,47.3,,,
2016-12-21T07:06:32Z,50.369760,3.466007,84.86310543455214,4.0,262.56888,6.1256223,19,gps,0.8,1.5,1.7,47.3,,,
2016-12-21T07:06:34Z,50.369750,3.465834,84.92477386597254,4.0,262.45486,6.0565825,19,gps,0.8,1.5,1.7,47.3,,,IN_VEHICLE
2016-12-21T07:06:36Z,50.369735,3.465665,85.01267025662658,3.0,263.46225,5.922074,19,gps,0.8,1.5,1.7,47.3,,,
2016-12-21T07:06:38Z,50.369725,3.465500,85.00025756555351,3.0,263.20886,5.893409,18,gps,1.0,1.5,1.7,47.3,,,IN_VEHICLE
2016-12-21T07:06:40Z,50.369708,3.465286,84.83320123570368,3.0,261.99158,6.147396,18,gps,0.9,1.5,1.7,47.3,,,
2016-12-21T07:06:42Z,50.369686,3.465051,84.5565175744555,4.0,262.24298,7.7565556,18,gps,0.8,1.5,1.7,47.3,,,IN_VEHICLE
2016-12-21T07:06:44Z,50.369667,3.464806,84.09286794596866,6.0,262.12524,7.9918075,18,gps,0.6,1.4,1.7,47.3,,,
2016-12-21T07:06:46Z,50.369656,3.464584,83.66758374142498,4.0,261.39975,7.8612304,19,gps,1.0,1.4,1.7,47.3,,,
2016-12-21T07:06:48Z,50.369630,3.464358,83.07665309266436,4.0,262.28705,8.331274,19,gps,0.8,1.4,1.6,47.3,,,
2016-12-21T07:06:50Z,50.369605,3.464099,82.2765467071641,6.0,262.69412,9.135461,19,gps,0.8,1.4,1.7,47.3,,,
2016-12-21T07:06:52Z,50.369570,3.463815,81.32193691503932,6.0,262.1881,9.645643,19,gps,0.6,1.5,1.9,47.3,,,
2016-12-21T07:06:54Z,50.369559,3.463515,80.56402886727518,4.0,264.85553,10.307754,18,gps,1.1,2.1,2.4,47.3,,,IN_VEHICLE
2016-12-21T07:06:56Z,50.369558,3.463207,79.8591971367333,4.0,267.33536,10.936135,18,gps,0.4,1.5,1.7,47.3,,,
2016-12-21T07:06:58Z,50.369556,3.462877,79.2473488014808,4.0,267.76205,11.667429,18,gps,0.9,1.4,1.6,47.3,,,IN_VEHICLE
2016-12-21T07:07:00Z,50.369545,3.462531,78.8646984369093,4.0,266.55054,12.042179,18,gps,0.8,1.5,1.7,47.3,,,
2016-12-21T07:07:02Z,50.369493,3.462200,78.45371311155456,4.0,243.01404,12.03669,18,gps,0.4,1.2,1.5,47.3,,,IN_VEHICLE
2016-12-21T07:07:04Z,50.369360,3.461919,78.24423378633125,6.0,241.42697,12.118504,18,gps,0.9,1.2,1.5,47.3,,,
2016-12-21T07:07:06Z,50.369273,3.461629,77.93946475927113,4.0,241.68272,11.489774,18,gps,0.4,2.3,2.6,47.3,,,IN_VEHICLE
2016-12-21T07:07:08Z,50.369191,3.461377,77.40828468798415,4.0,241.32864,10.475728,18,gps,0.9,1.5,1.8,47.3,,,
2016-12-21T07:07:10Z,50.369124,3.461132,77.0428930533779,4.0,251.28468,10.087666,18,gps,0.9,1.4,1.7,47.3,,,
2016-12-21T07:07:12Z,50.369127,3.460871,76.63205440879534,4.0,275.83066,9.993957,18,gps,0.9,1.4,1.7,47.3,,,IN_VEHICLE
2016-12-21T07:07:14Z,50.369212,3.460615,76.37249306646503,4.0,298.91757,10.58507,19,gps,0.9,1.2,1.5,47.3,,,
2016-12-21T07:07:16Z,50.369328,3.460357,76.32651558868064,4.0,299.26068,11.088153,19,gps,0.8,1.3,1.5,47.3,,,IN_VEHICLE
2016-12-21T07:07:18Z,50.369436,3.460092,76.45291042800739,4.0,299.56555,11.0713415,19,gps,0.8,1.4,1.6,47.3,,,
2016-12-21T07:07:20Z,50.369532,3.459842,76.49116132451798,4.0,298.56476,10.339545,19,gps,0.8,1.3,1.5,47.3,,,IN_VEHICLE
2016-12-21T07:07:22Z,50.369610,3.459595,76.71644832932553,4.0,293.82867,10.028417,19,gps,0.8,1.3,1.5,47.3,,,
2016-12-21T07:07:24Z,50.369666,3.459322,76.81774343027182,4.0,286.53036,10.264879,19,gps,0.4,1.3,1.5,47.3,,,
2016-12-21T07:07:26Z,50.369695,3.459036,76.97572336084993,4.0,282.27695,10.3260145,19,gps,0.4,1.4,1.7,47.3,,,IN_VEHICLE
2016-12-21T07:07:28Z,50.369730,3.458763,77.12872254442439,4.0,279.35257,9.937894,19,gps,1.0,1.6,1.8,47.3,,,
2016-12-21T07:07:30Z,50.369752,3.458516,77.31041278350484,4.0,278.94724,8.771837,19,gps,0.8,1.4,1.6,47.3,,,IN_VEHICLE
2016-12-21T07:07:32Z,50.369772,3.458325,77.54817840930694,4.0,280.42392,6.9165134,18,gps,0.9,1.4,1.7,47.3,,,
2016-12-21T07:07:34Z,50.369799,3.458205,77.55772739822385,4.0,318.51456,4.893134,19,gps,0.8,1.5,1.7,47.3,,,IN_VEHICLE
2016-12-21T07:07:36Z,50.369880,3.458183,77.52258723766136,4.0,24.38349,5.7814236,19,gps,1.0,1.5,1.8,47.3,,,
2016-12-21T07:07:38Z,50.370013,3.458324,77.37375485406812,4.0,33.244385,8.328785,19,gps,1.1,1.5,1.9,47.3,,,
2016-12-21T07:07:40Z,50.370165,3.458494,77.32002338157098,4.0,33.20955,9.087141,19,gps,0.9,1.4,1.7,47.3,,,IN_VEHICLE
2016-12-21T07:07:42Z,50.370316,3.458652,77.38353371212324,4.0,35.14095,9.130365,19,gps,0.9,1.4,1.7,47.3,,,
2016-12-21T07:07:44Z,50.370448,3.458788,77.25519077850886,4.0,27.980938,8.622803,19,gps,0.8,1.6,1.8,47.3,,,
2016-12-21T07:07:46Z,50.370576,3.458905,77.04950943039472,4.0,26.403818,8.912063,19,gps,0.4,1.3,1.5,47.3,,,
2016-12-21T07:07:48Z,50.370746,3.459024,76.79194485209543,4.0,23.127897,10.521881,19,gps,0.8,1.2,1.5,47.3,,,
