time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid
2016-12-13T07:10:16Z,50.370498,3.466161,99.05201916907424,32.0,186.87053,0.075311504,0,gps,3.2,99.0,140.0,47.3,,
2016-12-13T07:10:18Z,50.370427,3.466083,96.3830210988275,16.0,80.119774,0.02452562,9,gps,1.5,2.1,2.6,47.3,,
2016-12-13T07:10:20Z,50.370413,3.466169,90.35818815124718,12.0,12.965686,0.09248011,9,gps,1.5,2.0,2.5,47.3,,
2016-12-13T07:10:22Z,50.370396,3.466260,81.14594140166757,8.0,,1.1856806,9,gps,1.1,2.0,2.3,47.3,,
2016-12-13T07:10:24Z,50.370359,3.466313,82.38681639060522,6.0,140.5352,1.9803218,13,gps,0.9,1.5,1.8,47.3,,
2016-12-13T07:10:26Z,50.370302,3.466363,82.24252452135136,6.0,166.34445,4.19668,16,gps,0.9,1.5,1.7,47.3,,
2016-12-13T07:10:28Z,50.370202,3.466406,81.28664351248388,4.0,163.69804,5.386483,18,gps,1.0,1.3,1.7,47.3,,
2016-12-13T07:10:30Z,50.370073,3.466474,80.32228453043662,8.0,159.27702,5.637295,17,gps,0.9,1.3,1.6,47.3,,
2016-12-13T07:10:32Z,50.369942,3.466531,78.93076168797938,8.0,169.03941,5.414903,17,gps,0.8,1.5,1.8,47.3,,
2016-12-13T07:10:34Z,50.369850,3.466540,77.75664953242264,8.0,178.85022,4.005436,16,gps,0.9,1.4,1.6,47.3,,
2016-12-13T07:10:36Z,50.369789,3.466526,77.49385555822276,6.0,218.75372,2.8987012,18,gps,0.9,1.4,1.6,47.3,,
2016-12-13T07:10:38Z,50.369761,3.466461,75.59581300234338,6.0,262.05927,2.99558,20,gps,0.8,1.2,1.4,47.3,,
2016-12-13T07:10:40Z,50.369759,3.466338,74.99800055992772,6.0,261.5191,4.006413,20,gps,0.8,1.3,1.6,47.3,,
2016-12-13T07:10:42Z,50.369752,3.466188,74.78880892925304,4.0,262.15237,4.9285936,20,gps,0.8,1.3,1.5,47.3,,
2016-12-13T07:10:44Z,50.369749,3.466058,74.89307432935507,6.0,263.3319,5.154803,19,gps,1.0,1.2,1.6,47.3,,
2016-12-13T07:10:46Z,50.369747,3.465917,75.10268499133014,6.0,263.4725,5.0628967,18,gps,0.9,1.3,1.5,47.3,,
2016-12-13T07:10:48Z,50.369744,3.465782,75.43709263871375,4.0,262.271,5.1886816,20,gps,1.1,1.5,1.9,47.3,,
2016-12-13T07:10:50Z,50.369731,3.465645,75.49056157271885,4.0,261.2456,5.625968,19,gps,0.4,1.7,1.9,47.3,,
2016-12-13T07:10:52Z,50.369716,3.465477,75.67337550990052,2.0,262.46143,6.387034,17,gps,0.9,1.3,1.6,47.3,,
2016-12-13T07:10:54Z,50.369698,3.465292,75.7843193772641,2.0,264.31454,6.6424046,18,gps,1.0,1.8,2.1,47.3,,
