time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity
2016-12-20T06:52:15Z,50.370383,3.465639,,29.0,,,0,network,,,,,,,UNKNOWN
2016-12-20T06:52:19Z,50.370494,3.466216,123.31860785079797,16.0,242.43689,0.76652205,0,gps,99.0,99.0,140.0,,,,
2016-12-20T06:52:21Z,50.370416,3.466321,118.35992472008738,16.0,147.3867,0.49304286,7,gps,4.4,2.0,4.8,47.3,,,
2016-12-20T06:52:23Z,50.370476,3.466322,94.91507671557154,8.0,,0.0,12,gps,1.1,1.6,1.9,47.3,,,
2016-12-20T06:52:25Z,50.370475,3.466313,94.30384954324114,6.0,,0.0,14,gps,0.6,1.5,1.8,47.3,,,
2016-12-20T06:52:27Z,50.370475,3.466306,94.07801946066007,6.0,,0.0,15,gps,1.0,1.6,1.9,47.3,,,
2016-12-20T06:52:29Z,50.370469,3.466311,93.73661411877416,4.0,,0.7807439,15,gps,1.0,1.4,1.8,47.3,,,
2016-12-20T06:52:31Z,50.370435,3.466335,91.35312467942812,4.0,,2.28679,16,gps,0.9,1.5,1.7,47.3,,,
2016-12-20T06:52:33Z,50.370368,3.466373,90.52282984137287,4.0,163.86513,3.7538805,17,gps,0.4,2.1,2.3,47.3,,,
2016-12-20T06:52:35Z,50.370289,3.466423,90.79276227413753,4.0,162.23509,4.4951406,17,gps,1.0,1.4,1.7,47.3,,,
2016-12-20T06:52:37Z,50.370200,3.466472,89.66685840386701,4.0,167.9606,4.89556,17,gps,1.0,1.5,1.8,47.3,,,
2016-12-20T06:52:39Z,50.370091,3.466509,88.13041407781648,6.0,175.01984,5.4594955,16,gps,1.0,1.6,1.9,47.3,,,
2016-12-20T06:52:41Z,50.370003,3.466505,87.57131282840277,6.0,175.2596,4.764697,16,gps,1.2,2.8,3.0,47.3,,,IN_VEHICLE
2016-12-20T06:52:43Z,50.369930,3.466499,86.5352702807516,4.0,169.70912,3.2402947,15,gps,1.0,1.5,1.8,47.3,,,
2016-12-20T06:52:45Z,50.369863,3.466496,84.0926796344901,6.0,182.7184,1.7922503,17,gps,0.8,1.4,1.7,47.3,,,
2016-12-20T06:52:47Z,50.369843,3.466471,82.67262271424147,6.0,238.99954,1.8057007,18,gps,0.9,1.5,1.7,47.3,,,
2016-12-20T06:52:49Z,50.369830,3.466386,81.84778616777561,6.0,262.67856,3.6787167,18,gps,0.9,1.4,1.6,47.3,,,
2016-12-20T06:52:51Z,50.369825,3.466263,81.01553113449826,6.0,264.24146,4.882341,21,gps,1.1,1.7,2.0,47.3,,,IN_VEHICLE
2016-12-20T06:52:53Z,50.369814,3.466115,81.22842173331459,4.0,263.36792,5.9698973,20,gps,0.8,1.3,1.5,47.3,,,
2016-12-20T06:52:55Z,50.369799,3.465946,81.47569119088536,3.0,260.39194,6.2643523,20,gps,0.8,1.2,1.5,47.3,,,IN_VEHICLE
2016-12-20T06:52:57Z,50.369785,3.465785,81.31532822424421,3.0,263.27072,6.2505584,19,gps,1.0,1.9,2.2,47.3,,,
2016-12-20T06:52:59Z,50.369776,3.465635,80.90603176045833,3.0,268.27118,6.142653,20,gps,1.0,1.6,1.9,47.3,,,IN_VEHICLE
2016-12-20T06:53:01Z,50.369773,3.465491,80.38314470149888,3.0,264.68668,6.0497813,20,gps,0.9,1.4,1.7,47.3,,,
