time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid
2016-12-09T13:30:59Z,50.370538,3.465780,,34.352,,,0,network,,,,,,
2016-12-09T13:31:08Z,50.370384,3.466266,100.80198115193937,24.0,131.05698,0.5197406,0,gps,2.4,99.0,140.0,47.3,,
2016-12-09T13:31:09Z,50.370383,3.466287,105.31041439736924,8.0,,0.0,10,gps,1.1,1.4,1.7,47.3,,
2016-12-09T13:31:12Z,50.370381,3.466318,106.18774786780507,8.0,,0.0,10,gps,1.1,1.4,1.7,47.3,,
2016-12-09T13:31:14Z,50.370381,3.466344,105.57478508039031,12.0,,1.2203571,14,gps,1.2,1.6,1.9,47.3,,
2016-12-09T13:31:16Z,50.370341,3.466410,104.88549500348708,8.0,,3.2943225,14,gps,1.0,1.5,1.8,47.3,,
2016-12-09T13:31:18Z,50.370223,3.466491,102.15844899610461,8.0,169.3384,6.4686933,17,gps,0.9,1.3,1.6,47.3,,
2016-12-09T13:31:20Z,50.370054,3.466533,101.04105811299618,8.0,165.72757,7.4830103,18,gps,1.0,1.3,1.6,47.3,,
2016-12-09T13:31:22Z,50.369910,3.466577,99.81329187030126,6.0,169.06082,6.173106,16,gps,1.0,1.4,1.7,47.3,,
2016-12-09T13:31:24Z,50.369832,3.466584,98.73207814339366,6.0,194.11267,3.4609742,14,gps,1.0,1.4,1.7,47.3,,
2016-12-09T13:31:26Z,50.369795,3.466523,98.01657076949084,6.0,251.52393,3.322311,15,gps,0.8,1.3,1.6,47.3,,
2016-12-09T13:31:28Z,50.369777,3.466382,96.59168373541091,6.0,263.5153,5.2815022,19,gps,0.9,1.2,1.5,47.3,,
2016-12-09T13:31:30Z,50.369765,3.466170,94.92258503072333,4.0,260.51443,7.339973,19,gps,1.0,1.2,1.6,47.3,,
2016-12-09T13:31:32Z,50.369744,3.465932,93.12450302736326,4.0,262.38113,7.8193684,19,gps,0.9,1.3,1.6,47.3,,
2016-12-09T13:31:34Z,50.369735,3.465706,92.14010716409862,4.0,262.62955,7.7951956,19,gps,0.9,1.5,1.7,47.3,,
2016-12-09T13:31:36Z,50.369728,3.465489,92.08478179687708,4.0,261.91174,7.8885775,21,gps,0.4,1.1,1.4,47.3,,
2016-12-09T13:31:38Z,50.369712,3.465256,92.07242741026377,4.0,264.49664,8.382127,18,gps,0.8,1.1,1.4,47.3,,
2016-12-09T13:31:40Z,50.369695,3.465001,91.77308450960743,4.0,262.7984,8.925563,17,gps,0.8,1.2,1.5,47.3,,
2016-12-09T13:31:42Z,50.369672,3.464744,91.59391444588266,4.0,262.81128,9.227118,20,gps,0.9,1.4,1.6,47.3,,
2016-12-09T13:31:44Z,50.369648,3.464476,91.47720787029019,4.0,262.54547,9.904011,20,gps,0.4,1.4,1.7,47.3,,
2016-12-09T13:31:46Z,50.369618,3.464166,91.50118043616834,4.0,261.17673,11.299169,20,gps,0.9,1.2,1.6,47.3,,
2016-12-09T13:31:48Z,50.369590,3.463828,91.47571491469687,6.0,262.87274,12.051432,20,gps,1.0,1.4,1.7,47.3,,
2016-12-09T13:31:50Z,50.369576,3.463476,91.56410565870596,4.0,267.48236,12.612197,19,gps,0.9,1.3,1.5,47.3,,
2016-12-09T13:31:52Z,50.369568,3.463106,91.49398694967242,4.0,268.05667,13.243275,18,gps,0.8,1.3,1.5,47.3,,
2016-12-09T13:31:54Z,50.369559,3.462723,91.33904227904108,4.0,264.929,13.561007,17,gps,0.9,1.4,1.6,47.3,,
2016-12-09T13:31:56Z,50.369525,3.462354,91.18727380604311,4.0,248.24945,13.29631,18,gps,0.9,1.4,1.7,47.3,,
2016-12-09T13:31:58Z,50.369434,3.462021,90.82098652288205,4.0,241.91809,12.844484,19,gps,0.9,1.4,1.7,47.3,,
2016-12-09T13:32:00Z,50.369300,3.461710,90.76048937213977,4.0,239.93143,12.737354,21,gps,0.4,1.1,1.3,47.3,,
2016-12-09T13:32:02Z,50.369188,3.461396,90.37380992254839,4.0,243.90343,12.076538,19,gps,0.9,1.4,1.7,47.3,,
2016-12-09T13:32:04Z,50.369106,3.461091,89.81167347307569,4.0,260.8226,11.701614,19,gps,0.9,1.4,1.6,47.3,,
2016-12-09T13:32:06Z,50.369117,3.460789,89.29240232886617,4.0,292.7105,10.855008,19,gps,0.9,1.2,1.5,47.3,,
2016-12-09T13:32:08Z,50.369208,3.460520,88.75074454819278,4.0,299.04745,10.36104,21,gps,0.8,1.3,1.5,47.3,,
2016-12-09T13:32:10Z,50.369314,3.460289,88.14098361495954,4.0,300.0699,9.623051,19,gps,0.8,1.2,1.4,47.3,,
2016-12-09T13:32:12Z,50.369401,3.460072,87.78456226563762,4.0,300.30655,9.143789,20,gps,0.8,1.2,1.4,47.3,,
2016-12-09T13:32:14Z,50.369480,3.459855,87.36655232777636,4.0,298.56232,8.7036295,19,gps,0.8,1.2,1.4,47.3,,
2016-12-09T13:32:16Z,50.369545,3.459661,86.93263752766795,4.0,293.7276,7.9289494,21,gps,0.7,1.3,1.5,47.3,,
2016-12-09T13:32:18Z,50.369585,3.459437,86.67471180918542,4.0,287.57227,8.281218,21,gps,0.8,1.1,1.3,47.3,,
2016-12-09T13:32:20Z,50.369624,3.459200,86.57397112050309,4.0,280.63535,8.514221,22,gps,0.8,1.2,1.4,47.3,,
2016-12-09T13:32:22Z,50.369658,3.458963,86.50640492068484,4.0,281.76138,8.497616,22,gps,0.9,1.3,1.5,47.3,,
2016-12-09T13:32:24Z,50.369681,3.458744,86.79355125155175,4.0,280.71317,7.8148813,21,gps,0.8,1.1,1.3,47.3,,
