time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid
2016-12-12T06:44:51Z,50.370374,3.466341,123.36421728722414,12.0,157.36682,4.262436,9,gps,1.2,2.8,3.3,47.3,,
2016-12-12T06:44:53Z,50.370341,3.466444,124.84538766208625,12.0,,1.2276783,12,gps,1.2,1.3,1.7,47.3,,
2016-12-12T06:44:55Z,50.370267,3.466514,124.46514613474889,12.0,154.7983,4.3048897,13,gps,0.9,1.3,1.6,47.3,,
2016-12-12T06:44:57Z,50.370168,3.466566,127.57453154304746,6.0,171.39131,4.788894,13,gps,0.9,1.3,1.6,47.3,,
2016-12-12T06:44:59Z,50.370070,3.466578,126.58425922416478,6.0,168.94797,4.575422,14,gps,0.9,1.4,1.6,47.3,,
2016-12-12T06:45:01Z,50.369986,3.466596,124.61282216991361,8.0,167.98746,3.0988595,15,gps,0.9,1.4,1.7,47.3,,
2016-12-12T06:45:03Z,50.369933,3.466614,118.80361109402683,8.0,196.82047,1.7084435,17,gps,0.8,1.8,2.1,47.3,,
2016-12-12T06:45:05Z,50.369896,3.466585,114.14213135476646,8.0,236.68753,2.4567897,16,gps,0.8,1.5,1.8,47.3,,
2016-12-12T06:45:07Z,50.369872,3.466502,109.74796056452705,6.0,270.0928,3.6110253,15,gps,1.2,1.8,2.2,47.3,,
2016-12-12T06:45:09Z,50.369858,3.466374,108.14157717221559,6.0,262.6343,5.0307875,16,gps,0.8,1.4,1.6,47.3,,
2016-12-12T06:45:11Z,50.369835,3.466229,107.7408893466509,8.0,264.29462,5.883503,17,gps,0.9,1.3,1.6,47.3,,
2016-12-12T06:45:13Z,50.369812,3.466065,106.30766717746013,6.0,263.15506,5.8831096,16,gps,0.8,1.4,1.6,47.3,,
2016-12-12T06:45:15Z,50.369788,3.465908,107.93577176616647,6.0,262.96518,5.8235464,17,gps,1.0,1.3,1.7,47.3,,
2016-12-12T06:45:17Z,50.369768,3.465750,108.32456331612937,6.0,262.3535,5.7120557,17,gps,0.8,1.4,1.6,47.3,,
2016-12-12T06:45:19Z,50.369751,3.465585,107.05641547768904,6.0,263.1711,6.084938,20,gps,0.9,1.4,1.7,47.3,,
2016-12-12T06:45:21Z,50.369738,3.465400,106.18787989169459,4.0,263.84073,6.6876864,19,gps,0.9,1.3,1.5,47.3,,
2016-12-12T06:45:23Z,50.369721,3.465171,105.61441797195648,4.0,263.81644,7.6447005,19,gps,0.8,1.3,1.5,47.3,,
2016-12-12T06:45:25Z,50.369701,3.464935,104.93981266784506,6.0,262.564,7.7988844,18,gps,0.8,1.3,1.5,47.3,,
2016-12-12T06:45:27Z,50.369679,3.464707,104.31638899245704,4.0,264.14624,7.83711,18,gps,1.0,1.3,1.7,47.3,,
2016-12-12T06:45:29Z,50.369660,3.464471,103.55123208234446,4.0,263.5558,8.475157,20,gps,0.9,1.1,1.4,47.3,,
2016-12-12T06:45:31Z,50.369639,3.464202,102.60065165507636,6.0,263.88947,9.036911,20,gps,0.6,1.2,1.5,47.3,,
2016-12-12T06:45:33Z,50.369623,3.463933,101.75746997344255,6.0,265.20828,9.325798,20,gps,0.8,1.1,1.4,47.3,,
2016-12-12T06:45:35Z,50.369610,3.463660,101.02716538472706,4.0,266.71768,9.532611,19,gps,0.4,1.3,1.6,47.3,,
2016-12-12T06:45:37Z,50.369605,3.463389,100.48487475033187,6.0,268.14465,9.546397,20,gps,0.6,1.2,1.5,47.3,,
2016-12-12T06:45:39Z,50.369599,3.463107,100.18255676141038,6.0,267.03967,10.048576,19,gps,1.1,1.4,1.8,47.3,,
2016-12-12T06:45:41Z,50.369590,3.462823,100.34483685527601,4.0,265.40314,10.170133,19,gps,1.1,1.9,2.2,47.3,,
2016-12-12T06:45:43Z,50.369549,3.462549,100.41900428728326,4.0,253.18538,10.164529,20,gps,0.8,1.4,1.6,47.3,,
2016-12-12T06:45:45Z,50.369482,3.462267,100.44610976547105,4.0,245.06587,10.649857,20,gps,0.4,1.2,1.4,47.3,,
2016-12-12T06:45:47Z,50.369395,3.461990,100.1413108261845,6.0,241.43848,10.586827,20,gps,0.6,1.3,1.5,47.3,,
